Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;64,676;1,679597662;100,086;17,266;64,3234;0,3478778;0,133;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/24;16;63,52;18,1405;0;60,03;1,87046038;100,154;17,47;44,6764;0,3007934;0,111;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/25;9;150,15;17,8905;0;51,128;1,87046038;100,734;17,312;84,8958;0,7091398;0,111;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/25;12;173,95;18,6415;0;45,796;1,890813958;100,63;19,08;83,9182;0,9503374;0,109;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/25;16;292,95;22,3955;0;44,338;1,911772161;100,476;20,868;63,644;0,841921;0,107;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/26;9;179,05;23,646;0;46,008;1,880563376;100,578;19,416;66,9692;0,723769;0,11;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/26;12;615,3;26,646;0;57,015;1,901215667;100,515;27,41666667;22,774833;0,4496435;0,108;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/26;16;415,35;27,8955;0;58,21;1,911772161;100,308;28,588;34,5564;0,7681044;0,107;50;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/30;9;250,45;26,896;0;50,258;1,860501544;100,086;20,728;187,2326;2,0086026;0,112;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/30;12;679,4;24,896;0;59,852;1,880563376;100,102;26,126;165,553;2,8985776;0,11;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/11/30;16;456,25;25,396;0;58,588;1,890813958;100,022;25,864;45,88;0,8231376;0,109;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/01;9;132,2;19,142;0;53,922;2,014415485;100,412;18,926;88,8154;0,81085;0,098;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/01;12;231,5;20,644;0;61,59;2,039291527;100,45;20,582;247,0876;1,9671488;0,096;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/01;16;434,2;26,646;0;48,292;2,052041956;100,508;22,764;125,2684;1,6360044;0,095;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/02;9;244,55;32,888;0;42,51;2,014415485;100,584;20,216;136,8298;1,7111356;0,098;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/02;12;689,7;28,645;0;49,804;2,039291527;100,4;26,988;82,6066;1,6275838;0,096;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/02;16;531,8;26,146;0;49,946;2,052041956;100,11;27,902;43,5014;0,9359014;0,095;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/03;9;249,25;22,145;0;59,374;1,955623611;100,26;19,334;236,4538;1,888735;0,103;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/03;12;704,75;31,641;0;42,78;2,002278923;100,182;34,51;62,119;1,901204;0,099;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/03;16;526,75;30,143;0;45,44;2,014415485;100,144;30,794;105,1936;2,7502996;0,098;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/04;9;244,9;28,6445;0;45,63;2,002278923;100,38;21,6;187,0976;2,3288608;0,099;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/04;12;696,25;31,641;0;40,768;2,039291527;100,418;29,006;268,3214;5,8582482;0,096;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/04;16;533;33,139;0;37,05;2,026751229;100,18;33,796;66,9866;2,3153808;0,097;350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/08;9;65,65;19,893;0;62,208;2,039291527;100,096;18,396;253,1384;1,4979066;0,096;1350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/08;12;141,85;23,396;0;56,448;2,052041956;100,058;23,784;521,2822;4,8747094;0,095;1350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/08;16;259,8;29,1445;0;52,008;2,091613047;99,756;25,7;386,543;5,1063512;0,092;1350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/09;9;116,3;21,645;0;67,98;2,052041956;100,01;20,688;399,1914;2,2618036;0,095;1350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/10;9;242,65;25,146;0;60,816;2,065008305;99,856;20,828;349,4528;2,6041996;0,094;1350;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/11;9;172,6;23,146;0;60,23166667;2,065008305;99,93666667;20,315;335,643;2,4466365;0,094;750;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/11;16;95,75;20,1435;0;57,35166667;2,065008305;99,98333333;20,18833333;142,9415;1,157173667;0,094;750;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/14;9;245,95;23,646;0;57,494;2,039291527;99,902;19,938;429,294;3,172521;0,096;750;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/15;9;253,4;26,646;0;54,156;2,026751229;100,196;21,598;400,813;3,6377162;0,097;750;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/16;9;251,2;21,1445;0;54,496;2,014415485;100,124;19,174;305,0684;2,3992402;0,098;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/17;9;222,7;22,896;0;60,224;2,014415485;100,108;19,726;366,8636;2,4932808;0,098;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/18;9;254,7;28,645;0;50,274;2,014415485;99,81;22,15;224,8296;2,5507846;0,098;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/19;9;242,05;25,646;0;68,40166667;2,002278923;99,68333333;21,89833333;234,488667;1,5117915;0,099;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/21;9;265,05;30,892;0;53,204;2,014415485;99,626;24,688;284,4996;3,2201152;0,098;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/22;9;254,5;30,8915;0;57,746;2,002278923;99,4;24,506;350,1856;3,5582668;0,099;550;2,6;3,3;65;280;4,36;0,1838;622,948
2020/12/23;9;200,6;24,396;0;63,034;1,990336362;100,016;21,958;327,0808;2,4612262;0,1;550;2,6;3,3;65;280;4,36;0,1838;622,948
